,Red,,Blue
-2.10941,0.69635,-1.72118,0.44512
-2.08353,0.6164,-1.69529,0.38982
-2.05765,0.53706,-1.66941,0.34005
-2.03176,0.482,-1.64353,0.30858
-2.00588,0.39451,-1.61765,0.28463
-1.98,0.33394,-1.59176,0.2451
-1.95412,0.28174,-1.56588,0.18157
-1.92824,0.24938,-1.54,0.12338
-1.90235,0.23409,-1.51412,0.10673
-1.87647,0.23703,-1.48824,0.1108
-1.85059,0.30598,-1.46235,0.09973
-1.82471,0.32266,-1.43647,0.07962
-1.79882,0.32077,-1.41059,0.06954
-1.77294,0.32335,-1.38471,0.06619
-1.74706,0.27813,-1.35882,0.05749
-1.72118,0.24839,-1.33294,0.04282
-1.69529,0.24197,-1.30706,0.02538
-1.66941,0.24096,-1.28118,0.01303
-1.64353,0.19829,-1.25529,0.01084
-1.61765,0.15109,-1.22941,0.01086
-1.59176,0.13498,-1.20353,0.00841
-1.56588,0.12579,-1.17765,0.00578
-1.54,0.11394,-1.15176,0.00406
-1.51412,0.08535,-1.12588,0.00302
-1.48824,0.05815,-1.1,0.00237
-1.46235,0.04993,-1.07412,0.00172
-1.43647,0.04635,-1.04824,8.72E-04
-1.41059,0.04686,-1.02235,3.89E-04
-1.38471,0.04669,-0.99647,5.56E-04
-1.35882,0.03792,-0.97059,7.52E-04
-1.33294,0.03592,-0.94471,8.02E-04
-1.30706,0.03476,-0.91882,8.99E-04
-1.28118,0.02544,-0.89294,0.00125
-1.25529,0.01807,-0.86706,0.00183
-1.22941,0.01337,-0.84118,0.00217
-1.20353,0.01006,-0.81529,0.00187
-1.17765,0.00799,-0.78941,7.83E-04
-1.15176,0.00676,-0.76353,-3.21E-04
-1.12588,0.00676,-0.73765,-8.20E-04
-1.1,0.00672,-0.71176,-0.00109
-1.07412,0.00533,-0.68588,-0.00111
-1.04824,0.00425,-0.66,-7.58E-04
-1.02235,0.00269,-0.63412,-1.69E-04
-0.99647,0.00126,-0.60823,5.49E-04
-0.97059,0.00143,-0.58235,0.00113
-0.94471,0.00254,-0.55647,0.00132
-0.91882,0.00297,-0.53059,0.001
-0.89294,0.00287,-0.50471,4.45E-04
-0.86706,0.00313,-0.47882,-3.29E-04
-0.84118,0.00257,-0.45294,-0.00119
-0.81529,0.00182,-0.42706,-0.00162
-0.78941,9.08E-04,-0.40118,-0.00183
-0.76353,8.75E-04,-0.37529,-0.00161
-0.73765,0.00142,-0.34941,-6.72E-04
-0.71176,0.00121,-0.32353,4.18E-04
-0.68588,8.10E-04,-0.29765,9.98E-04
-0.66,0.00132,-0.27176,8.44E-04
-0.63412,0.00194,-0.24588,3.21E-04
-0.60823,0.00124,-0.22,-1.92E-04
-0.58235,0.00137,-0.19412,-4.89E-04
-0.55647,0.00159,-0.16823,-6.97E-04
-0.53059,0.00121,-0.14235,-8.99E-04
-0.50471,0.0025,-0.11647,-7.99E-04
-0.47882,0.00371,-0.09059,-6.49E-04
-0.45294,0.00277,-0.06471,-3.72E-04
-0.42706,0.00208,-0.03882,1.26E-05
-0.40118,0.00236,-0.01294,6.52E-05
-0.37529,0.0012,0.01294,2.20E-04
-0.34941,4.98E-04,0.03882,6.51E-04
-0.32353,0.00108,0.06471,0.00114
-0.29765,1.03E-04,0.09059,0.00124
-0.27176,-0.00112,0.11647,6.28E-04
-0.24588,-9.87E-04,0.14235,-2.61E-04
-0.22,-0.0012,0.16823,-0.00125
-0.19412,-9.96E-04,0.19412,-0.00204
-0.16823,-7.23E-04,0.22,-0.00231
-0.14235,-9.32E-04,0.24588,-0.00213
-0.11647,-2.65E-04,0.27176,-0.00192
-0.09059,3.91E-04,0.29765,-0.00164
-0.06471,7.54E-04,0.32353,-5.24E-04
-0.03882,0.00123,0.34941,8.03E-04
-0.01294,6.60E-04,0.37529,0.00132
0.01294,-2.62E-04,0.40118,0.00122
0.03882,-7.82E-04,0.42706,0.00119
0.06471,-2.25E-04,0.45294,0.00166
0.09059,-5.52E-04,0.47882,0.00229
0.11647,-1.89E-04,0.50471,0.00244
0.14235,0.00141,0.53059,0.00205
0.16823,5.95E-04,0.55647,0.00204
0.19412,9.22E-04,0.58235,0.00266
0.22,9.94E-04,0.60823,0.0029
0.24588,3.60E-04,0.63412,0.00233
0.27176,3.22E-04,0.66,0.00141
0.29765,-6.72E-04,0.68588,0.00106
0.32353,-0.00136,0.71176,0.00168
0.34941,-0.00107,0.73765,0.0028
0.37529,-9.33E-05,0.76353,0.0042
0.40118,-6.28E-05,0.78941,0.00716
0.42706,-7.07E-04,0.81529,0.01229
0.45294,-1.16E-05,0.84118,0.01812
0.47882,3.41E-04,0.86706,0.02751
0.50471,9.82E-04,0.89294,0.04705
0.53059,0.00107,0.91882,0.07684
0.55647,-2.83E-04,0.94471,0.10741
0.58235,-5.88E-04,0.97059,0.14082
0.60823,-9.11E-05,0.99647,0.18916
0.63412,-2.48E-04,1.02235,0.22988
0.66,-0.00123,1.04824,0.23791
0.68588,-0.00137,1.07412,0.23306
0.71176,-5.67E-05,1.1,0.23427
0.73765,5.03E-04,1.12588,0.23792
0.76353,6.37E-04,1.15176,0.23988
0.78941,2.29E-04,1.17765,0.2461
0.81529,-4.56E-04,1.20353,0.25938
0.84118,-7.03E-04,1.22941,0.27755
0.86706,-0.00107,1.25529,0.29761
0.89294,-1.43E-04,1.28118,0.29914
0.91882,-1.10E-04,1.30706,0.29267
0.94471,-1.07E-04,1.33294,0.33676
0.97059,0.00129,1.35882,0.44512
0.99647,0.0014,,
1.02235,9.45E-04,,
1.04824,-6.86E-05,,
1.07412,-6.36E-04,,
1.1,-0.00111,,
1.12588,-0.00115,,
1.15176,8.78E-04,,
1.17765,0.00115,,
1.20353,9.82E-04,,
1.22941,0.00123,,
1.25529,0.00187,,
1.28118,0.0028,,
