p,Lz=2,Lz=3,Lz=4,Lz=5,Lz=6,Lz=7,Lz=8,Lz=9,Lz=10
0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0
0.13,0,0,-4.37E-04,0,0,0,0,0,0
0.14,0,0,-1.94E-04,0,0,0,-4.37E-04,0,-4.37E-04
0.15,0,-4.37E-04,2.30E-05,0,-4.37E-04,0,-1.94E-04,0,-1.94E-04
0.16,0,-1.94E-04,2.15E-04,0,-1.94E-04,0,-4.14E-04,0,-4.14E-04
0.17,0,2.30E-05,3.81E-04,0,2.30E-05,0,-8.53E-04,0,-4.16E-04
0.18,0,2.15E-04,8.43E-05,0,2.15E-04,-4.37E-04,1.53E-05,-4.37E-04,-2.27E-04
0.19,0,3.81E-04,4.42E-04,-4.37E-04,-4.93E-04,-6.31E-04,3.45E-04,-1.94E-04,1.28E-04
0.2,0,5.21E-04,3.12E-04,-1.94E-04,-0.00118,-0.00104,3.78E-04,-0.00172,-0.00112
0.21,0,6.36E-04,8.10E-04,-4.14E-04,-0.00252,-0.00146,-9.78E-04,-0.00144,-0.00391
0.22,0,7.25E-04,3.58E-04,-8.53E-04,-3.78E-04,-8.15E-04,-1.84E-04,-0.00472,-7.89E-04
0.23,0,7.89E-04,7.51E-04,-8.58E-04,3.91E-04,-0.00117,-4.98E-04,-0.00508,-0.00534
0.24,-4.37E-04,8.27E-04,0.0017,-0.00179,-3.86E-04,-0.00186,-0.00498,-0.00303,-1.63E-04
0.25,-1.94E-04,8.40E-04,7.41E-04,-0.00341,0.00146,-8.43E-05,-0.00108,-0.00345,0.00255
0.26,2.30E-05,-9.19E-04,0.00104,-0.00138,0.00347,8.35E-04,1.92E-04,8.68E-04,0.00452
0.27,2.15E-04,-0.00173,-3.73E-04,4.34E-05,0.00507,0.00259,9.53E-04,4.32E-04,0.00724
0.28,3.81E-04,-8.33E-04,-0.00105,0.00233,0.00657,0.0028,0.00831,0.00398,0.01159
0.29,5.21E-04,-1.12E-04,0.00104,7.20E-04,0.00928,0.00265,0.01964,0.01126,0.01934
0.3,1.99E-04,-0.00113,0.00515,0.00182,0.01504,0.00556,0.02876,0.02346,0.03224
0.31,-3.42E-04,-0.00144,0.00578,0.00888,0.02132,0.00808,0.04525,0.03548,0.04958
0.32,-4.49E-04,0.00143,0.00935,0.0129,0.0242,0.01929,0.057,0.05007,0.07232
0.33,-6.10E-04,0.00344,0.01391,0.02262,0.03668,0.03684,0.07611,0.07502,0.09703
0.34,-0.00151,0.00798,0.0181,0.03392,0.0498,0.05148,0.10232,0.10264,0.13121
0.35,1.33E-04,0.01169,0.02342,0.05353,0.06758,0.07469,0.13312,0.13931,0.1673
0.36,0.00212,0.01732,0.02676,0.0672,0.08601,0.10305,0.17056,0.17686,0.21698
