Vg,4nm,3nm,2nm
-25,2.45E-12,3.02E-12,3.28E-12
-24.75,2.22E-12,2.02E-12,2.40E-12
-24.5,2.18E-12,1.46E-12,1.62E-12
-24.25,2.16E-12,1.02E-12,1.22E-12
-24,2.03E-12,5.97E-13,9.05E-13
-23.75,2.00E-12,4.22E-13,5.13E-13
-23.5,2.06E-12,3.67E-13,3.47E-13
-23.25,2.01E-12,2.65E-13,3.47E-13
-23,1.89E-12,1.78E-13,2.50E-13
-22.75,1.91E-12,2.52E-13,1.63E-13
-22.5,1.84E-12,1.95E-13,3.00E-13
-22.25,1.61E-12,2.67E-14,2.97E-13
-22,1.53E-12,3.50E-14,1.22E-13
-21.75,1.50E-12,8.33E-15,1.50E-13
-21.5,1.36E-12,1.10E-13,1.53E-13
-21.25,1.33E-12,8.00E-14,2.83E-14
-21,1.37E-12,1.83E-14,5.17E-14
-20.75,1.14E-12,5.67E-14,1.40E-13
-20.5,9.32E-13,1.03E-13,7.50E-14
-20.25,1.02E-12,1.07E-13,1.97E-13
-20,9.53E-13,5.00E-14,1.90E-13
-19.75,7.77E-13,6.67E-15,7.33E-14
-19.5,8.62E-13,2.00E-14,1.47E-13
-19.25,8.58E-13,1.68E-13,8.83E-14
-19,6.28E-13,1.05E-13,1.00E-14
-18.75,4.77E-13,6.67E-15,5.00E-14
-18.5,1.50E-13,4.67E-14,1.67E-15
-18.25,4.67E-14,3.33E-14,1.27E-13
-18,1.38E-13,9.50E-14,3.83E-14
-17.75,1.05E-13,4.17E-14,3.33E-15
-17.5,1.22E-13,2.33E-14,8.00E-14
-17.25,1.80E-13,8.67E-14,7.17E-14
-17,8.33E-15,7.33E-14,6.00E-14
-16.75,1.33E-14,7.67E-14,4.50E-14
-16.5,2.03E-13,6.00E-14,2.00E-14
-16.25,2.13E-13,2.17E-14,2.33E-14
-16,1.13E-13,1.33E-14,1.43E-13
-15.75,1.75E-13,1.68E-13,8.00E-14
-15.5,1.53E-13,1.57E-13,3.67E-14
-15.25,6.33E-14,6.83E-14,6.83E-14
-15,9.83E-14,1.93E-13,6.83E-14
-14.75,6.33E-14,7.83E-14,1.23E-13
-14.5,4.50E-14,6.50E-14,8.33E-14
-14.25,1.08E-13,1.58E-13,7.00E-14
-14,5.17E-14,2.83E-14,1.20E-13
-13.75,5.50E-14,1.83E-14,3.33E-15
-13.5,2.08E-13,4.33E-14,9.17E-14
-13.25,9.50E-14,8.83E-14,2.17E-14
-13,1.33E-13,3.00E-14,8.33E-14
-12.75,4.83E-14,9.17E-14,6.00E-14
-12.5,1.90E-13,5.00E-15,5.67E-14
-12.25,1.47E-13,4.33E-14,4.33E-14
-12,8.83E-14,3.50E-14,6.67E-15
-11.75,2.78E-13,7.50E-14,5.17E-14
-11.5,1.78E-13,5.33E-14,1.17E-14
-11.25,2.57E-13,2.67E-14,1.05E-13
-11,3.90E-13,2.02E-13,5.33E-14
-10.75,2.35E-13,1.88E-13,1.07E-13
-10.5,1.55E-13,8.33E-14,2.07E-13
-10.25,2.53E-13,1.30E-13,5.50E-14
-10,1.35E-13,8.67E-14,1.67E-14
-9.75,9.50E-14,3.33E-15,6.33E-14
