p,Lz=4,Lz=3,Lz=2
0,0.00E+00,0.00E+00,0.00E+00
0.002,0.00E+00,0.00E+00,0.00E+00
0.004,0.00E+00,0.00E+00,0.00E+00
0.006,0.00E+00,0.00E+00,0.00E+00
0.008,0.00E+00,0.00E+00,0.00E+00
0.01,0.00E+00,0.00E+00,0.00E+00
0.012,0.00E+00,0.00E+00,0.00E+00
0.014,0.00E+00,0.00E+00,0.00E+00
0.016,0.00E+00,0.00E+00,0.00E+00
0.018,0.00E+00,0.00E+00,0.00E+00
0.02,0.00E+00,0.00E+00,0.00E+00
0.022,0.00E+00,0.00E+00,0.00E+00
0.024,0.00E+00,0.00E+00,0.00E+00
0.026,0.00E+00,0.00E+00,0.00E+00
0.028,0.00E+00,0.00E+00,0.00E+00
0.03,0.00E+00,0.00E+00,0.00E+00
0.032,0.00E+00,0.00E+00,0.00E+00
0.034,0.00E+00,0.00E+00,0.00E+00
0.036,0.00E+00,0.00E+00,0.00E+00
0.038,0.00E+00,0.00E+00,0.00E+00
0.04,0.00E+00,0.00E+00,0.00E+00
0.042,0.00E+00,0.00E+00,0.00E+00
0.044,0.00E+00,0.00E+00,0.00E+00
0.046,0.00E+00,0.00E+00,0.00E+00
0.048,0.00E+00,0.00E+00,0.00E+00
0.05,0.00E+00,0.00E+00,0.00E+00
0.052,0.00E+00,0.00E+00,0.00E+00
0.054,0.00E+00,0.00E+00,0.00E+00
0.056,0.00E+00,0.00E+00,0.00E+00
0.058,0.00E+00,0.00E+00,0.00E+00
0.06,0.00E+00,0.00E+00,0.00E+00
0.062,0.00E+00,0.00E+00,0.00E+00
0.064,0.00E+00,0.00E+00,0.00E+00
0.066,0.00E+00,0.00E+00,0.00E+00
0.068,0.00E+00,0.00E+00,0.00E+00
0.07,0.00E+00,0.00E+00,0.00E+00
0.072,0.00E+00,0.00E+00,0.00E+00
0.074,0.00E+00,0.00E+00,0.00E+00
0.076,0.00E+00,0.00E+00,0.00E+00
0.078,0.00E+00,0.00E+00,0.00E+00
0.08,0.00E+00,0.00E+00,0.00E+00
0.082,0.00E+00,0.00E+00,0.00E+00
0.084,0.00E+00,0.00E+00,0.00E+00
0.086,0.00E+00,0.00E+00,0.00E+00
0.088,0.00E+00,0.00E+00,0.00E+00
0.09,0.00E+00,0.00E+00,0.00E+00
0.092,0.00E+00,0.00E+00,0.00E+00
0.094,0.00E+00,0.00E+00,0.00E+00
0.096,0.00E+00,0.00E+00,0.00E+00
0.098,0.00E+00,0.00E+00,0.00E+00
0.1,0.00E+00,0.00E+00,0.00E+00
0.102,0.00E+00,0.00E+00,0.00E+00
0.104,0.00E+00,0.00E+00,0.00E+00
0.106,0.00E+00,0.00E+00,0.00E+00
0.108,0.00E+00,0.00E+00,0.00E+00
0.11,0.00E+00,0.00E+00,0.00E+00
0.112,0.00E+00,0.00E+00,0.00E+00
0.114,0.00E+00,0.00E+00,0.00E+00
0.116,0.00E+00,0.00E+00,0.00E+00
0.118,0.00E+00,0.00E+00,0.00E+00
0.12,0.00E+00,0.00E+00,0.00E+00
0.122,0.00E+00,0.00E+00,0.00E+00
0.124,0.00E+00,0.00E+00,0.00E+00
0.126,0.00E+00,0.00E+00,0.00E+00
0.128,0.00E+00,0.00E+00,0.00E+00
0.13,0.00E+00,0.00E+00,0.00E+00
0.132,0.00E+00,0.00E+00,0.00E+00
0.134,0.00E+00,0.00E+00,0.00E+00
0.136,0.00E+00,0.00E+00,0.00E+00
0.138,0.00E+00,0.00E+00,0.00E+00
0.14,0.00E+00,0.00E+00,0.00E+00
0.142,0.00E+00,0.00E+00,0.00E+00
0.144,0.00E+00,0.00E+00,0.00E+00
0.146,0.00E+00,0.00E+00,0.00E+00
0.148,0.00E+00,0.00E+00,0.00E+00
0.15,0.00E+00,0.00E+00,0.00E+00
0.152,0.00E+00,0.00E+00,0.00E+00
0.154,0.00E+00,0.00E+00,0.00E+00
0.156,0.00E+00,0.00E+00,0.00E+00
0.158,0.00E+00,0.00E+00,0.00E+00
0.16,0.00E+00,0.00E+00,0.00E+00
0.162,0.00E+00,0.00E+00,0.00E+00
0.164,0.00E+00,0.00E+00,0.00E+00
0.166,0.00E+00,0.00E+00,0.00E+00
0.168,0.00E+00,0.00E+00,0.00E+00
0.17,0.00E+00,0.00E+00,0.00E+00
0.172,0.00E+00,0.00E+00,0.00E+00
0.174,0.00E+00,0.00E+00,0.00E+00
0.176,0.00E+00,0.00E+00,0.00E+00
0.178,0.00E+00,0.00E+00,0.00E+00
0.18,0.00E+00,0.00E+00,0.00E+00
0.182,0.00E+00,0.00E+00,0.00E+00
0.184,0.00E+00,0.00E+00,0.00E+00
0.186,0.00E+00,0.00E+00,0.00E+00
0.188,0.00E+00,0.00E+00,0.00E+00
0.19,0.00E+00,0.00E+00,0.00E+00
0.192,0.00E+00,0.00E+00,0.00E+00
0.194,0.00E+00,0.00E+00,0.00E+00
0.196,0.00E+00,0.00E+00,0.00E+00
0.198,0.00E+00,0.00E+00,0.00E+00
0.2,0.00E+00,0.00E+00,0.00E+00
0.202,0.00E+00,0.00E+00,0.00E+00
0.204,0.00E+00,0.00E+00,0.00E+00
0.206,0.00E+00,0.00E+00,0.00E+00
0.208,0.00E+00,0.00E+00,0.00E+00
0.21,0.00E+00,0.00E+00,0.00E+00
0.212,0.00E+00,0.00E+00,0.00E+00
0.214,0.00E+00,0.00E+00,0.00E+00
0.216,0.00E+00,0.00E+00,0.00E+00
0.218,0.00E+00,0.00E+00,0.00E+00
0.22,0.00E+00,0.00E+00,0.00E+00
0.222,0.00E+00,0.00E+00,0.00E+00
0.224,0.00E+00,0.00E+00,0.00E+00
0.226,0.00E+00,0.00E+00,0.00E+00
0.228,0.00E+00,0.00E+00,0.00E+00
0.23,0.00E+00,0.00E+00,0.00E+00
0.232,0.00E+00,0.00E+00,0.00E+00
0.234,0.00E+00,0.00E+00,0.00E+00
0.236,0.00E+00,0.00E+00,0.00E+00
0.238,0.00E+00,0.00E+00,0.00E+00
0.24,0.00E+00,0.00E+00,0.00E+00
0.242,0.00E+00,0.00E+00,0.00E+00
0.244,0.00E+00,0.00E+00,0.00E+00
0.246,0.00E+00,0.00E+00,0.00E+00
0.248,0.00E+00,0.00E+00,0.00E+00
0.25,0.00E+00,0.00E+00,0.00E+00
0.252,0.00E+00,0.00E+00,0.00E+00
0.254,0.00E+00,0.00E+00,0.00E+00
0.256,0.00E+00,0.00E+00,0.00E+00
0.258,0.00E+00,0.00E+00,0.00E+00
0.26,0.00E+00,0.00E+00,0.00E+00
0.262,0.00E+00,0.00E+00,0.00E+00
0.264,0.00E+00,0.00E+00,0.00E+00
0.266,0.00E+00,0.00E+00,0.00E+00
0.268,0.00E+00,0.00E+00,0.00E+00
0.27,0.00E+00,0.00E+00,0.00E+00
0.272,0.00E+00,0.00E+00,0.00E+00
0.274,0.00E+00,0.00E+00,0.00E+00
0.276,0.00E+00,0.00E+00,0.00E+00
0.278,0.00E+00,0.00E+00,0.00E+00
0.28,0.00E+00,0.00E+00,0.00E+00
0.282,0.00E+00,0.00E+00,0.00E+00
0.284,0.00E+00,0.00E+00,0.00E+00
0.286,0.00E+00,0.00E+00,0.00E+00
0.288,0.00E+00,0.00E+00,0.00E+00
0.29,0.00E+00,0.00E+00,0.00E+00
0.292,0.00E+00,0.00E+00,0.00E+00
0.294,0.00E+00,0.00E+00,0.00E+00
0.296,0.00E+00,0.00E+00,0.00E+00
0.298,0.00E+00,0.00E+00,0.00E+00
0.3,0.00E+00,0.00E+00,0.00E+00
0.302,0.00E+00,0.00E+00,0.00E+00
0.304,0.00E+00,0.00E+00,0.00E+00
0.306,0.00E+00,0.00E+00,0.00E+00
0.308,0.00E+00,0.00E+00,0.00E+00
0.31,0.00E+00,0.00E+00,0.00E+00
0.312,0.00E+00,0.00E+00,0.00E+00
0.314,0.00E+00,0.00E+00,0.00E+00
0.316,0.00E+00,0.00E+00,0.00E+00
0.318,0.00E+00,0.00E+00,0.00E+00
0.32,0.00E+00,0.00E+00,0.00E+00
0.322,0.00E+00,0.00E+00,0.00E+00
0.324,0.00E+00,0.00E+00,0.00E+00
0.326,0.00E+00,0.00E+00,0.00E+00
0.328,0.00E+00,0.00E+00,0.00E+00
0.33,0.00E+00,0.00E+00,0.00E+00
0.332,0.00E+00,0.00E+00,0.00E+00
0.334,0.00E+00,0.00E+00,0.00E+00
0.336,0.00E+00,0.00E+00,0.00E+00
0.338,0.00E+00,0.00E+00,0.00E+00
0.34,0.00E+00,0.00E+00,0.00E+00
0.342,0.00E+00,0.00E+00,0.00E+00
0.344,0.00E+00,0.00E+00,0.00E+00
0.346,0.00E+00,0.00E+00,0.00E+00
0.348,0.00E+00,0.00E+00,0.00E+00
0.35,0.00E+00,0.00E+00,0.00E+00
0.352,0.00E+00,0.00E+00,0.00E+00
0.354,0.00E+00,0.00E+00,0.00E+00
0.356,0.00E+00,0.00E+00,0.00E+00
0.358,0.00E+00,0.00E+00,0.00E+00
0.36,0.00E+00,0.00E+00,0.00E+00
0.362,0.00E+00,0.00E+00,0.00E+00
0.364,0.00E+00,0.00E+00,0.00E+00
0.366,0.00E+00,0.00E+00,0.00E+00
0.368,0.00E+00,0.00E+00,0.00E+00
0.37,0.00E+00,0.00E+00,0.00E+00
0.372,0.00E+00,0.00E+00,0.00E+00
0.374,0.00E+00,0.00E+00,0.00E+00
0.376,0.00E+00,0.00E+00,0.00E+00
0.378,0.00E+00,0.00E+00,0.00E+00
0.38,0.00E+00,0.00E+00,0.00E+00
0.382,0.00E+00,0.00E+00,0.00E+00
0.384,0.00E+00,0.00E+00,0.00E+00
0.386,0.00E+00,0.00E+00,0.00E+00
0.388,0.00E+00,0.00E+00,0.00E+00
0.39,0.00E+00,0.00E+00,0.00E+00
0.392,0.00E+00,0.00E+00,0.00E+00
0.394,0.00E+00,0.00E+00,0.00E+00
0.396,0.00E+00,0.00E+00,0.00E+00
0.398,0.00E+00,0.00E+00,0.00E+00
0.4,0.00E+00,0.00E+00,0.00E+00
0.402,0,0,0
0.404,0,0,0
0.406,0,0,0
0.408,0,0,0
0.41,0,0,0
0.412,0,0,0
0.414,0,0,0
0.416,0,0,0
0.418,0,0,0
0.42,0,0,0
0.422,0,0,0
0.424,0.01563,0,0
0.426,0.54688,0,0
0.428,1,0,0
0.43,1,0,0
0.432,1,0,0
0.434,1,0,0
0.436,1,0,0
0.438,1,0,0
0.44,1,0,0
0.442,1,0,0
0.444,1,0,0
0.446,1,0,0
0.448,1,0,0
0.45,1,0,0
0.452,1,0.00781,0
0.454,1,0.26563,0
0.456,1,0.98438,0
0.458,1,1,0
0.46,1,1,0
0.462,1,1,0
0.464,1,1,0
0.466,1,1,0
0.468,1,1,0
0.47,1,1,0
0.472,1,1,0
0.474,1,1,0
0.476,1,1,0
0.478,1,1,0
0.48,1,1,0
0.482,1,1,0
0.484,1,1,0
0.486,1,1,0
0.488,1,1,0
0.49,1,1,0
0.492,1,1,0
0.494,1,1,0
0.496,1,1,0
0.498,1,1,0
0.5,1,1,0
0.502,1,1,0
0.504,1,1,0.07813
0.506,1,1,0.5
0.508,1,1,0.97656
0.51,1,1,1
0.512,1,1,1
0.514,1,1,1
0.516,1,1,1
0.518,1,1,1
0.52,1,1,1
0.522,1,1,1
0.524,1,1,1
0.526,1,1,1
0.528,1,1,1
0.53,1,1,1
0.532,1,1,1
0.534,1,1,1
0.536,1,1,1
0.538,1,1,1
0.54,1,1,1
0.542,1,1,1
0.544,1,1,1
0.546,1,1,1
0.548,1,1,1
0.55,1,1,1
0.552,1,1,1
0.554,1,1,1
0.556,1,1,1
0.558,1,1,1
0.56,1,1,1
0.562,1,1,1
0.564,1,1,1
0.566,1,1,1
0.568,1,1,1
0.57,1,1,1
0.572,1,1,1
0.574,1,1,1
0.576,1,1,1
0.578,1,1,1
0.58,1,1,1
0.582,1,1,1
0.584,1,1,1
0.586,1,1,1
0.588,1,1,1
0.59,1,1,1
0.592,1,1,1
0.594,1,1,1
0.596,1,1,1
0.598,1,1,1
0.6,1,1,1
0.602,1,1,1
0.604,1,1,1
0.606,1,1,1
0.608,1,1,1
0.61,1,1,1
0.612,1,1,1
0.614,1,1,1
0.616,1,1,1
0.618,1,1,1
0.62,1,1,1
0.622,1,1,1
0.624,1,1,1
0.626,1,1,1
0.628,1,1,1
0.63,1,1,1
0.632,1,1,1
0.634,1,1,1
0.636,1,1,1
0.638,1,1,1
0.64,1,1,1
0.642,1,1,1
0.644,1,1,1
0.646,1,1,1
0.648,1,1,1
0.65,1,1,1
0.652,1,1,1
0.654,1,1,1
0.656,1,1,1
0.658,1,1,1
0.66,1,1,1
0.662,1,1,1
0.664,1,1,1
0.666,1,1,1
0.668,1,1,1
0.67,1,1,1
0.672,1,1,1
0.674,1,1,1
0.676,1,1,1
0.678,1,1,1
0.68,1,1,1
0.682,1,1,1
0.684,1,1,1
0.686,1,1,1
0.688,1,1,1
0.69,1,1,1
0.692,1,1,1
0.694,1,1,1
0.696,1,1,1
0.698,1,1,1
0.7,1,1,1
0.702,1,1,1
0.704,1,1,1
0.706,1,1,1
0.708,1,1,1
0.71,1,1,1
0.712,1,1,1
0.714,1,1,1
0.716,1,1,1
0.718,1,1,1
0.72,1,1,1
0.722,1,1,1
