Vg,tch=7,Vg,tch=8,Vg,tch=12
25.1999,1.38E-09,25.1999,1.20E-09,24.9999,2.99E-09
24.9,1.34E-09,24.9,1.22E-09,24.7499,3.35E-09
24.6,1.28E-09,24.5999,1.12E-09,24.5,3.38E-09
24.2999,1.28E-09,24.3,1.10E-09,24.25,3.60E-09
24,1.26E-09,24,1.12E-09,24,3.56E-09
23.7,1.22E-09,23.6999,1.08E-09,23.7499,3.96E-09
23.4,1.22E-09,23.4,1.16E-09,23.5,4.00E-09
23.1,1.14E-09,23.0999,1.08E-09,23.2499,4.32E-09
22.7999,1.06E-09,22.7999,1.06E-09,23,4.28E-09
22.4999,1.10E-09,22.4999,1.06E-09,22.75,4.61E-09
22.2,1.00E-09,22.1999,9.80E-10,22.5001,5.04E-09
21.9,1.10E-09,21.8999,1.08E-09,22.2499,5.33E-09
21.6001,1.04E-09,21.6,1.02E-09,22,5.69E-09
21.3,1.06E-09,21.2999,1.00E-09,21.75,6.05E-09
20.9999,1.02E-09,20.9999,9.60E-10,21.5,6.41E-09
20.7,1.02E-09,20.7,1.00E-09,21.25,6.98E-09
20.3999,1.02E-09,20.4,9.20E-10,20.9998,7.24E-09
20.0999,1.08E-09,20.1,9.40E-10,20.7499,7.60E-09
19.8,9.60E-10,19.7999,9.40E-10,20.5,8.39E-09
19.5,9.40E-10,19.5001,9.80E-10,20.25,9.14E-09
19.2001,9.20E-10,19.2,9.60E-10,20,9.65E-09
18.9,9.60E-10,18.8999,1.02E-09,19.75,1.03E-08
18.5999,9.60E-10,18.5999,1.02E-09,19.5,1.11E-08
18.3,9.20E-10,18.3,9.20E-10,19.2498,1.17E-08
18,8.80E-10,18,9.80E-10,19,1.27E-08
17.7,9.20E-10,17.7001,9.20E-10,18.75,1.39E-08
17.4,9.00E-10,17.3999,9.00E-10,18.4999,1.49E-08
17.1,9.20E-10,17.0998,9.00E-10,18.25,1.57E-08
16.7999,9.20E-10,16.8,9.80E-10,18,1.72E-08
16.5,9.80E-10,16.4999,9.80E-10,17.75,1.85E-08
