1-p,Lz=12,Lz=8,Lz=7
1,0.00E+00,0,0.00E+00
0.998,0.00E+00,0,0.00E+00
0.996,0.00E+00,0,0.00E+00
0.994,0.00E+00,0,0.00E+00
0.992,0.00E+00,0,0.00E+00
0.99,0.00E+00,0,0.00E+00
0.988,0.00E+00,0,0.00E+00
0.986,0.00E+00,0,0.00E+00
0.984,0.00E+00,0,0.00E+00
0.982,0.00E+00,0,0.00E+00
0.98,0.00E+00,0,0.00E+00
0.978,0.00E+00,0,0.00E+00
0.976,0.00E+00,0,0.00E+00
0.974,0.00E+00,0,0.00E+00
0.972,0.00E+00,0,0.00E+00
0.97,0.00E+00,0,0.00E+00
0.968,0.00E+00,0,0.00E+00
0.966,0.00E+00,0,0.00E+00
0.964,0.00E+00,0,0.00E+00
0.962,0.00E+00,0,0.00E+00
0.96,0.00E+00,0,0.00E+00
0.958,0.00E+00,0,0.00E+00
0.956,0.00E+00,0,0.00E+00
0.954,0.00E+00,0,0.00E+00
0.952,0.00E+00,0,0.00E+00
0.95,0.00E+00,0,0.00E+00
0.948,0.00E+00,0,0.00E+00
0.946,0.00E+00,0,0.00E+00
0.944,0.00E+00,0,0.00E+00
0.942,0.00E+00,0,0.00E+00
0.94,0.00E+00,0,0.00E+00
0.938,0.00E+00,0,0.00E+00
0.936,0.00E+00,0,0.00E+00
0.934,0.00E+00,0,0.00E+00
0.932,0.00E+00,0,0.00E+00
0.93,0.00E+00,0,0.00E+00
0.928,0.00E+00,0,0.00E+00
0.926,0.00E+00,0,0.00E+00
0.924,0.00E+00,0,0.00E+00
0.922,0.00E+00,0,0.00E+00
0.92,0.00E+00,0,0.00E+00
0.918,0.00E+00,0,0.00E+00
0.916,0.00E+00,0,0.00E+00
0.914,0.00E+00,0,0.00E+00
0.912,0.00E+00,0,0.00E+00
0.91,0.00E+00,0,0.00E+00
0.908,0.00E+00,0,0.00E+00
0.906,0.00E+00,0,0.00E+00
0.904,0.00E+00,0,0.00E+00
0.902,0.00E+00,0,0.00E+00
0.9,0.00E+00,0,0.00E+00
0.898,0.00E+00,0,0.00E+00
0.896,0.00E+00,0,0.00E+00
0.894,0.00E+00,0,0.00E+00
0.892,0.00E+00,0,0.00E+00
0.89,0.00E+00,0,0.00E+00
0.888,0.00E+00,0,0.00E+00
0.886,0.00E+00,0,0.00E+00
0.884,0.00E+00,0,0.00E+00
0.882,0.00E+00,0,0.00E+00
0.88,0.00E+00,0,0.00E+00
0.878,0.00E+00,0,0.00E+00
0.876,0.00E+00,0,0.00E+00
0.874,0.00E+00,0,0.00E+00
0.872,0.00E+00,0,0.00E+00
0.87,0.00E+00,0,0.00E+00
0.868,0.00E+00,0,0.00E+00
0.866,0.00E+00,0,0.00E+00
0.864,0.00E+00,0,0.00E+00
0.862,0.00E+00,0,0.00E+00
0.86,0.00E+00,0,0.00E+00
0.858,0.00E+00,0,0.00E+00
0.856,0.00E+00,0,0.00E+00
0.854,0.00E+00,0,0.00E+00
0.852,0.00E+00,0,0.00E+00
0.85,0.00E+00,0,0.00E+00
0.848,0.00E+00,0,0.00E+00
0.846,0.00E+00,0,0.00E+00
0.844,0.00E+00,0,0.00E+00
0.842,0.00E+00,0,0.00E+00
0.84,0.00E+00,0,0.00E+00
0.838,0.00E+00,0,0.00E+00
0.836,0.00E+00,0,0.00E+00
0.834,0.00E+00,0,0.00E+00
0.832,0.00E+00,0,0.00E+00
0.83,0.00E+00,0,0.00E+00
0.828,0.00E+00,0,0.00E+00
0.826,0.00E+00,0,0.00E+00
0.824,0.00E+00,0,0.00E+00
0.822,0.00E+00,0,0.00E+00
0.82,0.00E+00,0,0.00E+00
0.818,0.00E+00,0,0.00E+00
0.816,0.00E+00,0,0.00E+00
0.814,0.00E+00,0,0.00E+00
0.812,0.00E+00,0,0.00E+00
0.81,0.00E+00,0,0.00E+00
0.808,0.00E+00,0,0.00E+00
0.806,0.00E+00,0,0.00E+00
0.804,0.00E+00,0,0.00E+00
0.802,0.00E+00,0,0.00E+00
0.8,0.00E+00,0,0.00E+00
0.798,0.00E+00,0,0.00E+00
0.796,0.00E+00,0,0.00E+00
0.794,0.00E+00,0,0.00E+00
0.792,0.00E+00,0,0.00E+00
0.79,0.00E+00,0,0.00E+00
0.788,0.00E+00,0,0.00E+00
0.786,0.00E+00,0,0.00E+00
0.784,0.00E+00,0,0.00E+00
0.782,0.00E+00,0,0.00E+00
0.78,0.00E+00,0,0.00E+00
0.778,0.00E+00,0,0.00E+00
0.776,0.00E+00,0,0.00E+00
0.774,0.00E+00,0,0.00E+00
0.772,0.00E+00,0,0.00E+00
0.77,0.00E+00,0,0.00E+00
0.768,0.00E+00,0,0.00E+00
0.766,0.00E+00,0,0.00E+00
0.764,0.00E+00,0,0.00E+00
0.762,0.00E+00,0,0.00E+00
0.76,0.00E+00,0,0.00E+00
0.758,0.00E+00,0,0.00E+00
0.756,0.00E+00,0,0.00E+00
0.754,0.00E+00,0,0.00E+00
0.752,0.00E+00,0,0.00E+00
0.75,0.00E+00,0,0.00E+00
0.748,0.00E+00,0,0.00E+00
0.746,0.00E+00,0,0.00E+00
0.744,0.00E+00,0,0.00E+00
0.742,0.00E+00,0,0.00E+00
0.74,0.00E+00,0,0.00E+00
0.738,0.00E+00,0,0.00E+00
0.736,0.00E+00,0,0.00E+00
0.734,0.00E+00,0,0.00E+00
0.732,0.00E+00,0,0.00E+00
0.73,0.00E+00,0,0.00E+00
0.728,0.00E+00,0,0.00E+00
0.726,0.00E+00,0,0.00E+00
0.724,0.00E+00,0,0.00E+00
0.722,0.00E+00,0,0.00E+00
0.72,0.00E+00,0,0.00E+00
0.718,0.00E+00,0,0.00E+00
0.716,0.00E+00,0,0.00E+00
0.714,0.00E+00,0,0.00E+00
0.712,0.00E+00,0,0.00E+00
0.71,0.00E+00,0,0.00E+00
0.708,0.00E+00,0,0.00E+00
0.706,0.00E+00,0,0.00E+00
0.704,0.00E+00,0,0.00E+00
0.702,0.00E+00,0,0.00E+00
0.7,0.00E+00,0,0.00E+00
0.698,0.00E+00,0,0.00E+00
0.696,0.00E+00,0,0.00E+00
0.694,0.00E+00,0,0.00E+00
0.692,0.00E+00,0,0.00E+00
0.69,0.00E+00,0,0.00E+00
0.688,0.00E+00,0,0.00E+00
0.686,0.00E+00,0,0.00E+00
0.684,0.00E+00,0,0.00E+00
0.682,0.00E+00,0,0.00E+00
