p,Lx=100,Lx=200,Lx=500,Lx=1000,Lx=2000,Lx=5000,Lx=10000,Ly=100,Ly=200,Ly=500,Ly=1000,Ly=2000,Ly=5000,Ly=10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40882,3.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41082,3.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41283,1.48E-04,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41483,4.39E-04,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41683,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41884,0.00199,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42084,0.00355,0,0,0,0,0,0,0,0,0,0,0,0,0
