Lch,tch=4,error,tch=3,error,tch=2,error
100,,,,,-32.075,4.72282
200,,,,,-28.28571,3.29769
500,-180,7.34847,-112.42,13.95464,-15.72857,1.09196
1000,-87.3,3.96569,-42.21667,5.7468,-9.41333,0.98213
2000,-49.675,3.76508,-28.76667,0.71461,-3.99625,0.55006
5000,-32.925,1.12361,-20.25,0.6892,-1.98467,1.27539
10000,-27.96,0.75033,-15.71667,0.33714,0.717,1.33873
20000,-22.125,0.55603,-12.06667,0.30768,3.38667,1.25163
50000,-15.625,1.68597,-8.25167,0.43379,6.90833,1.19037
100000,-13.95,0.59161,-6.495,0.52649,7.7175,0.75266
