Wch,tch=4,error,tch=3,error,tch=2,error
100,-9.772,0.51939,-7.26625,1.04772,-0.17373,0.66281
200,-14.8,1.57861,-9.85375,0.87052,-3.73833,0.87119
500,-25.9,1.42487,-15.75,1.8936,-6.66667,1.33961
1000,-40.66,0.72319,-25.8,0.88091,-6.095,0.85336
2000,-41.32333,2.87959,-25.25,0.82885,-5.955,0.61139
5000,-41.33333,1.43091,-26.06667,0.69186,-6.18143,0.22267
10000,-40.9,0.44721,-25.88333,0.39707,-5.61667,0.15526
20000,-41.68333,0.87502,-27.1,0.65727,-6.22,0.1996
50000,-40.89,0.37283,-26.86667,0.66533,-5.775,0.22546
100000,-41.03333,0.29439,-26.43333,0.44572,-6.025,0.52352
