1/T,VG=-18.00V_mean,VG=-18.00V_std,VG=-16.50V_mean,VG=-16.50V_std,VG=-15.00V_mean,VG=-15.00V_std,VG=-13.50V_mean,VG=-13.50V_std,VG=-12.00V_mean,VG=-12.00V_std,VG=-10.50V_mean,VG=-10.50V_std,VG=-9.00V_mean,VG=-9.00V_std,VG=-7.50V_mean,VG=-7.50V_std,VG=-6.00V_mean,VG=-6.00V_std,VG=-4.50V_mean,VG=-4.50V_std,VG=-3.00V_mean,VG=-3.00V_std,VG=-1.50V_mean,VG=-1.50V_std,VG=0.00V_mean,VG=0.00V_std,VG=1.50V_mean,VG=1.50V_std,VG=3.00V_mean,VG=3.00V_std,VG=4.50V_mean,VG=4.50V_std,VG=6.00V_mean,VG=6.00V_std,VG=7.50V_mean,VG=7.50V_std,VG=9.00V_mean,VG=9.00V_std,VG=10.50V_mean,VG=10.50V_std,VG=12.00V_mean,VG=12.00V_std,VG=13.50V_mean,VG=13.50V_std,VG=15.00V_mean,VG=15.00V_std,VG=16.50V_mean,VG=16.50V_std,VG=18.00V_mean,VG=18.00V_std,VG=19.50V_mean,VG=19.50V_std,VG=21.00V_mean,VG=21.00V_std,VG=22.50V_mean,VG=22.50V_std,VG=24.00V_mean,VG=24.00V_std,VG=25.50V_mean,VG=25.50V_std,VG=27.00V_mean,VG=27.00V_std,VG=28.50V_mean,VG=28.50V_std,VG=30.00V_mean,VG=30.00V_std
20,-2.55E+01,1.13E-01,-2.52E+01,3.06E-01,-2.41E+01,6.74E-01,-2.26E+01,9.09E-01,-2.13E+01,8.86E-01,-2.02E+01,7.82E-01,-1.93E+01,6.95E-01,-1.85E+01,0.6253,-17.84313,0.54826,-17.2396,0.47782,-16.70736,0.42274,-16.22535,0.37423,-15.7832,0.32859,-15.37581,0.28166,-15.01797,0.24222,-14.70221,0.21133,-14.42074,0.18137,-14.17251,0.1543,-13.95216,0.12995,-13.75419,0.1073,-13.57837,0.08803,-13.42049,0.07001,-13.2778,0.0526,-13.14815,0.03715,-13.02926,0.02199,-12.91937,0.00804,-12.81882,0.00839,-12.72547,0.02144,-12.6386,0.03493,-12.55721,0.04794,-12.48227,0.0611,-12.41269,0.07346,-12.34761,0.08493
10,-2.55E+01,9.18E-02,-2.51E+01,1.62E-01,-2.39E+01,2.14E-01,-2.23E+01,3.55E-01,-2.08E+01,3.10E-01,-1.96E+01,2.75E-01,-1.87E+01,2.38E-01,-1.79E+01,0.20195,-17.27643,0.17264,-16.70523,0.15266,-16.20308,0.13457,-15.7508,0.11836,-15.34323,0.10425,-14.97547,0.08974,-14.65019,0.0785,-14.36319,0.06905,-14.10688,0.06146,-13.87832,0.05469,-13.6731,0.04904,-13.48839,0.04369,-13.32164,0.03923,-13.16989,0.03533,-13.03101,0.03174,-12.90294,0.02883,-12.78441,0.02638,-12.67411,0.02423,-12.57126,0.02218,-12.47482,0.02037,-12.38413,0.01875,-12.29884,0.01735,-12.21816,0.01595,-12.14194,0.01463,-12.06972,0.0134
5,-2.52E+01,1.37E+00,-2.29E+01,1.06E+00,-2.11E+01,8.64E-01,-1.97E+01,6.83E-01,-1.86E+01,5.29E-01,-1.77E+01,4.18E-01,-1.70E+01,3.36E-01,-1.64E+01,0.27792,-15.92596,0.22862,-15.50159,0.19319,-15.12703,0.16349,-14.79227,0.13799,-14.49373,0.11728,-14.2267,0.10085,-13.98669,0.08629,-13.77106,0.07392,-13.57908,0.06452,-13.40515,0.05624,-13.24757,0.04969,-13.10319,0.04348,-12.97061,0.03829,-12.84788,0.03275,-12.73523,0.02917,-12.63087,0.02602,-12.53315,0.023,-12.44138,0.02023,-12.3553,0.01788,-12.27427,0.01577,-12.19698,0.01303,-12.12488,0.01195,-12.05628,0.01032,-11.99102,0.00896,-11.92877,0.00772
4,-2.45E+01,4.34E-01,-2.26E+01,5.60E-01,-2.08E+01,3.99E-01,-1.94E+01,2.83E-01,-1.83E+01,2.08E-01,-1.74E+01,1.57E-01,-1.68E+01,1.20E-01,-1.62E+01,0.09548,-15.72525,0.07714,-15.31557,0.06329,-14.95712,0.0524,-14.64114,0.04391,-14.36015,0.03733,-14.10966,0.0323,-13.88568,0.0284,-13.68491,0.02507,-13.50383,0.02276,-13.34013,0.02098,-13.19119,0.01955,-13.05462,0.01845,-12.92943,0.01765,-12.81431,0.01702,-12.70694,0.01656,-12.60708,0.0163,-12.51415,0.01613,-12.42692,0.01595,-12.34503,0.01598,-12.26782,0.01602,-12.19521,0.01605,-12.12624,0.01612,-12.06085,0.01619,-11.99863,0.01633,-11.93948,0.01655
3.33333,-2.45E+01,5.96E-01,-2.26E+01,5.85E-01,-2.09E+01,4.25E-01,-1.95E+01,3.09E-01,-1.84E+01,2.30E-01,-1.75E+01,1.76E-01,-1.68E+01,1.34E-01,-1.62E+01,0.10211,-15.72828,0.07768,-15.30907,0.06058,-14.94783,0.04726,-14.63279,0.0378,-14.35473,0.02981,-14.10881,0.02407,-13.88965,0.01956,-13.69432,0.01542,-13.51703,0.0127,-13.35642,0.01027,-13.21023,0.00867,-13.07602,0.00758,-12.9524,0.00683,-12.83828,0.00692,-12.73215,0.00699,-12.63313,0.00769,-12.54041,0.00828,-12.4534,0.00897,-12.37139,0.00958,-12.29404,0.01043,-12.2209,0.01123,-12.15161,0.01172,-12.08557,0.01228,-12.02263,0.01294,-11.9626,0.01349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
