VG,Ea_(meV),R2,,,,,,,,,,,,,
-30,-4.54E-01,7.10E-02,,,,,,,,,,,,,
-29.25,-3.16E+00,7.61E-02,,,,,,,,,,,,,
-28.5,-1.71E+00,6.81E-02,,,,,,,,,,,,,
-27.75,-9.99E-01,2.45E-02,,,,,,,,,,,,,
-27,-0.360523804,0.003632654,,,,,,,,,,,,,
-26.25,-0.04314407,4.32E-05,,,,,,,,,,,,,
-25.5,0.18527209,8.76E-04,,,,,,,,,,,,,
-24.75,-0.437810653,0.014588391,,,,,,,,,,,,,
-24,-1.899328178,0.117810313,,,,,,,,,,,,,
-23.25,-2.374938135,0.061395964,,,,,,,,,,,,,
-22.5,-2.095244933,0.069834225,,,,,,,,,,,,,
-21.75,-2.122266744,0.116533384,,,,,,,,,,,,,
-21,-4.301514869,0.086085442,,,,,,,,,,,,,
-20.25,1.807013294,0.02881234,,,,,,,,,,,,,
-19.5,-1.353628932,0.042186944,,,,,,,,,,,,,
-18.75,0.156808908,9.79E-04,,,,,,,,,,,,,
-18,4.710575034,0.556995756,,,,,,,,,,,,,
-17.25,9.215021698,0.740313435,,,,,,,,,,,,,
-16.5,14.28583668,0.747410896,,,,,,,,,,,,,
-15.75,17.05146568,0.755410818,,,,,,,,,,,,,
-15,17.97995875,0.764066809,,,,,,,,,,,,,
-14.25,18.27735331,0.787152038,,,,,,,,,,,,,
-13.5,17.82633924,0.806161781,,,,,,,,,,,,,
-12.75,17.19740983,0.823740094,,,,,,,,,,,,,
-12,16.50112784,0.837200044,,,,,,,,,,,,,
-11.25,15.76598467,0.847601811,,,,,,,,,,,,,
-10.5,15.09018051,0.858197755,,,,,,,,,,,,,
-9.75,14.41255167,0.866024641,,,,,,,,,,,,,
-9,13.82260508,0.873053034,,,,,,,,,,,,,
-8.25,13.27714842,0.880611213,,,,,,,,,,,,,
-7.5,12.70951865,0.885816072,,,,,,,,,,,,,
-6.75,12.12520111,0.889837254,,,,,,,,,,,,,
-6,11.60897642,0.893972725,,,,,,,,,,,,,
-5.25,11.0724218,0.896828906,,,,,,,,,,,,,
-4.5,10.54858118,0.89934668,,,,,,,,,,,,,
-3.75,10.06021189,0.901822275,,,,,,,,,,,,,
-3,9.59002422,0.904671787,,,,,,,,,,,,,
-2.25,9.109940974,0.907058131,,,,,,,,,,,,,
-1.5,8.671880722,0.910359401,,,,,,,,,,,,,
-0.75,8.22542899,0.91274238,,,,,,,,,,,,,
0,7.778988065,0.915069242,,,,,,,,,,,,,
0.75,7.332292721,0.91677665,,,,,,,,,,,,,
1.5,6.908943491,0.918437726,,,,,,,,,,,,,
2.25,6.520300524,0.920275002,,,,,,,,,,,,,
3,6.166731369,0.922401767,,,,,,,,,,,,,
3.75,5.835079618,0.924158011,,,,,,,,,,,,,
4.5,5.528345004,0.926044159,,,,,,,,,,,,,
5.25,5.239786387,0.927737344,,,,,,,,,,,,,
6,4.970054365,0.92994359,,,,,,,,,,,,,
6.75,4.72385893,0.932045575,,,,,,,,,,,,,
7.5,4.500798544,0.934498892,,,,,,,,,,,,,
8.25,4.292918486,0.936941826,,,,,,,,,,,,,
9,4.103014068,0.939730357,,,,,,,,,,,,,
9.75,3.924003619,0.942033027,,,,,,,,,,,,,
10.5,3.761776701,0.944531579,,,,,,,,,,,,,
11.25,3.615196818,0.94722434,,,,,,,,,,,,,
12,3.481434469,0.949837663,,,,,,,,,,,,,
12.75,3.359242063,0.952644933,,,,,,,,,,,,,
13.5,3.246508704,0.955224545,,,,,,,,,,,,,
14.25,3.145003252,0.9578827,,,,,,,,,,,,,
15,3.049063437,0.960620481,,,,,,,,,,,,,
15.75,2.961567821,0.963332032,,,,,,,,,,,,,
16.5,2.881989863,0.966037938,,,,,,,,,,,,,
17.25,2.806777853,0.968460564,,,,,,,,,,,,,
18,2.738235792,0.970861793,,,,,,,,,,,,,
18.75,2.672707788,0.97289484,,,,,,,,,,,,,
19.5,2.612705896,0.974782562,,,,,,,,,,,,,
20.25,2.55745371,0.976500371,,,,,,,,,,,,,
21,2.509427631,0.978108616,,,,,,,,,,,,,
21.75,2.46250414,0.979369333,,,,,,,,,,,,,
22.5,2.419712015,0.98038623,,,,,,,,,,,,,
23.25,2.379162007,0.98109424,,,,,,,,,,,,,
24,2.342577352,0.981162278,,,,,,,,,,,,,
24.75,2.30874941,0.981335488,,,,,,,,,,,,,
25.5,2.273284095,0.981053084,,,,,,,,,,,,,
26.25,2.244411776,0.980559931,,,,,,,,,,,,,
27,2.220311718,0.979756944,,,,,,,,,,,,,
27.75,2.197253153,0.978639904,,,,,,,,,,,,,
28.5,2.179317106,0.977158046,,,,,,,,,,,,,
29.25,2.16336421,0.975327035,,,,,,,,,,,,,
30,2.146776615,0.97327052,,,,,,,,,,,,,
