X,1.8nm,3nm,4nm
-30,-2.47E-02,7.03E-02,1
-29.25,-3.41E-02,5.27E-02,0.98223
-28.5,-3.64E-02,4.80E-02,0.96521
-27.75,-0.03326,0.05081,0.94896
-27,-0.02629,5.57E-02,0.93353
-26.25,-0.01707,5.73E-02,0.91897
-25.5,-0.00288,0.0273,0.90555
-24.75,0.00419,0.04199,0.89323
-24,0.00156,-0.08993,0.88139
-23.25,0.00117,-0.08341,0.8701
-22.5,0.00405,-0.0707,0.85903
-21.75,-0.0019,-0.08818,0.84773
-21,-0.00899,-0.07025,0.83691
-20.25,-0.00992,-0.00208,0.82653
-19.5,-0.00803,1.17E-01,0.8164
-18.75,0.01095,0.25547,0.80644
-18,0.07512,0.43337,0.79635
-17.25,0.13229,0.61931,0.78567
-16.5,0.16468,0.71753,0.77419
-15.75,0.17638,0.91851,0.76211
-15,0.17017,1,0.74918
-14.25,0.14446,0.99924,0.73528
-13.5,0.09296,0.97268,0.72126
-12.75,0.03362,0.92572,0.707
-12,-0.01545,0.88766,0.69306
-11.25,-0.0395,0.85576,0.67776
-10.5,-0.02933,0.82865,0.66119
-9.75,-0.03978,0.80195,0.64405
-9,-0.04252,0.7764,0.62668
-8.25,-0.03988,0.75018,0.60953
-7.5,-0.03637,0.72499,0.59272
-6.75,-0.03267,0.70027,0.57608
-6,-0.03421,0.6766,0.55947
-5.25,-0.03903,0.65351,0.54299
-4.5,-0.04943,0.63074,0.5267
-3.75,-0.05395,0.6083,0.50914
-3,-0.035,0.58592,0.49165
-2.25,0.01251,0.56329,0.47396
-1.5,0.10505,0.54091,0.45687
-0.75,0.2289,0.51874,0.43894
0,0.36643,0.49702,0.42118
0.75,0.50227,0.47572,0.40372
1.5,0.61871,0.45525,0.38662
2.25,0.68432,0.43586,0.36981
3,0.80324,0.41785,0.35336
3.75,0.89562,0.40116,0.33735
4.5,0.95975,0.38577,0.32198
5.25,0.99382,0.37161,0.30727
6,1,0.35851,0.29323
6.75,0.97907,0.34646,0.27867
7.5,0.92681,0.33552,0.26502
8.25,0.84813,0.32548,0.25206
9,0.75215,0.31639,0.24013
9.75,0.66169,0.30818,0.22788
10.5,0.66071,0.30069,0.21587
11.25,0.63368,0.29395,0.204
12,0.60837,0.28796,0.19241
12.75,0.58502,0.28262,0.18113
13.5,0.56352,0.27788,0.17011
14.25,0.54379,0.27361,0.15965
15,0.52504,0.26979,0.14969
15.75,0.50771,0.26636,0.14024
16.5,0.49133,0.26326,0.13153
17.25,0.47544,0.26044,0.12266
18,0.46024,0.25788,0.1144
18.75,0.4458,0.25566,0.10653
19.5,0.43186,0.25367,0.09945
20.25,0.41879,0.25194,0.0921
21,0.40613,0.25042,0.08491
21.75,0.39387,0.24915,0.07817
22.5,0.382,0.24809,0.07162
23.25,0.37076,0.24722,0.06547
24,0.35996,0.24648,0.05985
24.75,0.34929,0.24586,0.05477
25.5,0.339,0.24545,0.05022
26.25,0.32904,0.24523,0.04615
27,0.31941,0.24514,0.04231
27.75,0.31016,0.24523,0.03825
28.5,0.30131,0.24551,0.03367
29.25,0.29289,0.246,0.02829
30,0.2849,0.24669,0.02183
